select state, p_date, sum(newcomer) as newcomer, sum(freshout) as freshout from payments group by state, p_date order by state, p_date;
+-------+------------+----------+----------+
| state | p_date     | newcomer | freshout |
| CE    | 2015-09-01 |    12833 |   -25884 |
| CE    | 2015-10-01 |    47791 |   -29095 |
| CE    | 2015-11-01 |    13336 |    -6481 |
| CE    | 2015-12-01 |    12325 |   -27454 |
| CE    | 2016-01-01 |    20243 |    -1945 |
| CE    | 2016-02-01 |      836 |   -18525 |
| CE    | 2016-03-01 |     9580 |    -5610 |
| CE    | 2016-04-01 |     6205 |    -5635 |
| CE    | 2016-05-01 |      738 |    -8070 |
| CE    | 2016-06-01 |     4210 |    -9013 |
| CE    | 2016-07-01 |     6388 |    -6028 |
| CE    | 2016-08-01 |      967 |   -31265 |
| CE    | 2016-09-01 |    33266 |    -5959 |
| CE    | 2016-10-01 |     2451 |   -29399 |
| CE    | 2016-11-01 |     2613 |   -18040 |
| CE    | 2016-12-01 |    13092 |   -32930 |
| CE    | 2017-01-01 |    11067 |    -3945 |
| CE    | 2017-02-01 |     4399 | -1035192 |
| DF    | 2011-01-01 |    98567 |     -466 |
| DF    | 2011-02-01 |      763 |     -387 |
| DF    | 2011-03-01 |       81 |     -157 |
| DF    | 2011-04-01 |       79 |     -110 |
| DF    | 2011-05-01 |     4395 |     -322 |
| DF    | 2011-06-01 |       58 |    -4802 |
| DF    | 2011-07-01 |      477 |   -12851 |
| DF    | 2011-08-01 |      339 |     -275 |
| DF    | 2011-09-01 |      277 |     -452 |
| DF    | 2011-10-01 |     1802 |     -961 |
| DF    | 2011-11-01 |      643 |    -2228 |
| DF    | 2011-12-01 |     1183 |    -3439 |
| DF    | 2012-01-01 |      598 |    -1600 |
| DF    | 2012-02-01 |      337 |     -906 |
| DF    | 2012-03-01 |     7261 |     -593 |
| DF    | 2012-04-01 |     3509 |    -1200 |
| DF    | 2012-05-01 |     4986 |     -904 |
| DF    | 2012-06-01 |      420 |     -835 |
| DF    | 2012-07-01 |      864 |    -2512 |
| DF    | 2012-08-01 |    13022 |     -356 |
| DF    | 2012-09-01 |      163 |     -275 |
| DF    | 2012-10-01 |      270 |     -584 |
| DF    | 2012-11-01 |      498 |     -279 |
| DF    | 2012-12-01 |      398 |    -4290 |
| DF    | 2013-01-01 |      261 |    -2011 |
| DF    | 2013-02-01 |       96 |     -597 |
| DF    | 2013-03-01 |      154 |    -4935 |
| DF    | 2013-04-01 |     1456 |    -2655 |
| DF    | 2013-05-01 |     8643 |    -2503 |
| DF    | 2013-06-01 |      434 |     -116 |
| DF    | 2013-07-01 |      339 |    -3392 |
| DF    | 2013-08-01 |      303 |     -302 |
| DF    | 2013-09-01 |     1296 |     -163 |
| DF    | 2013-10-01 |      110 |     -758 |
| DF    | 2013-11-01 |       97 |     -260 |
| DF    | 2013-12-01 |     5819 |     -931 |
| DF    | 2014-01-01 |     1109 |     -278 |
| DF    | 2014-02-01 |      546 |    -2036 |
| DF    | 2014-03-01 |      989 |     -253 |
| DF    | 2014-04-01 |     1364 |     -732 |
| DF    | 2014-05-01 |      515 |     -144 |
| DF    | 2014-06-01 |      534 |    -4580 |
| DF    | 2014-07-01 |      143 |    -1176 |
| DF    | 2014-08-01 |       96 |     -289 |
| DF    | 2014-09-01 |       96 |     -261 |
| DF    | 2014-10-01 |      101 |     -175 |
| DF    | 2014-11-01 |      429 |     -333 |
| DF    | 2014-12-01 |      127 |     -419 |
| DF    | 2015-01-01 |       50 |     -152 |
| DF    | 2015-02-01 |       38 |     -165 |
| DF    | 2015-03-01 |       51 |    -4750 |
| DF    | 2015-04-01 |       72 |     -104 |
| DF    | 2015-05-01 |       18 |     -246 |
| DF    | 2015-06-01 |       59 |     -185 |
| DF    | 2015-07-01 |     4230 |     -268 |
| DF    | 2015-08-01 |       44 |    -1157 |
| DF    | 2015-09-01 |     8861 |    -2598 |
| DF    | 2015-10-01 |      802 |    -1979 |
| DF    | 2015-11-01 |      684 |     -365 |
| DF    | 2015-12-01 |      768 |    -7959 |
| DF    | 2016-01-01 |      833 |     -180 |
| DF    | 2016-02-01 |       26 |    -5086 |
| DF    | 2016-03-01 |     1251 |     -424 |
| DF    | 2016-04-01 |     1073 |     -591 |
| DF    | 2016-05-01 |       54 |     -377 |
| DF    | 2016-06-01 |      126 |     -932 |
| DF    | 2016-07-01 |     3466 |     -339 |
| DF    | 2016-08-01 |       51 |    -3901 |
| DF    | 2016-09-01 |     2938 |     -437 |
| DF    | 2016-10-01 |     1346 |    -3820 |
| DF    | 2016-11-01 |     1470 |     -615 |
| DF    | 2016-12-01 |      569 |    -4865 |
| DF    | 2017-01-01 |      208 |     -458 |
| DF    | 2017-02-01 |      745 |   -83568 |
| ES    | 2011-01-01 |   188933 |    -3754 |
| ES    | 2011-02-01 |     5203 |     -729 |
| ES    | 2011-03-01 |     1154 |     -611 |
| ES    | 2011-04-01 |     1468 |    -1071 |
| ES    | 2011-05-01 |     1058 |     -750 |
| ES    | 2011-06-01 |     1688 |     -699 |
| ES    | 2011-07-01 |     1371 |    -5892 |
| ES    | 2011-08-01 |     4457 |     -837 |
| ES    | 2011-09-01 |     4222 |    -1392 |
| ES    | 2011-10-01 |     2622 |    -1015 |
| ES    | 2011-11-01 |     2924 |     -775 |
| ES    | 2011-12-01 |     1427 |    -2594 |
| ES    | 2012-01-01 |     2219 |     -911 |
| ES    | 2012-02-01 |     2533 |    -1301 |
| ES    | 2012-03-01 |     1325 |    -1355 |
| ES    | 2012-04-01 |     1781 |    -3671 |
| ES    | 2012-05-01 |     4396 |    -1293 |
| ES    | 2012-06-01 |      558 |     -930 |
| ES    | 2012-07-01 |     5470 |    -1404 |
| ES    | 2012-08-01 |     3193 |    -1853 |
| ES    | 2012-09-01 |      549 |     -603 |
